Anio,ONI
1985,-1
1986,-0.5
1987,1.2
1988,0.8
1989,-1.7
1990,0.1
1991,0.4
1992,1.7
1993,0.1
1994,0.1
1995,1
1996,-0.9
1997,-0.5
1998,2.2
1999,-1.5
2000,-1.7
2001,-0.7
2002,-0.1
2003,0.9
2004,0.4
2005,0.6
