Estacion,Anio,Fase,Acumulado
BajadaDelAgrio,1984,Fase_int,8261.71
BajadaDelAgrio,1984,Fase_max,15105.76
BajadaDelAgrio,1984,Fase_min,2150.42
BajadaDelAgrio,1985,Fase_int,9800.22
BajadaDelAgrio,1985,Fase_max,5857.23
BajadaDelAgrio,1985,Fase_min,3532.2
BajadaDelAgrio,1986,Fase_int,12871.13
BajadaDelAgrio,1986,Fase_max,9201.52
BajadaDelAgrio,1986,Fase_min,2501.34
BajadaDelAgrio,1987,Fase_int,9975.92
BajadaDelAgrio,1987,Fase_max,10585.58
BajadaDelAgrio,1987,Fase_min,2574.59
BajadaDelAgrio,1988,Fase_int,5975.57
BajadaDelAgrio,1988,Fase_max,10326
BajadaDelAgrio,1988,Fase_min,2280.25
BajadaDelAgrio,1989,Fase_int,5353.84
BajadaDelAgrio,1989,Fase_max,8680.075470695405
BajadaDelAgrio,1989,Fase_min,1791.24
BajadaDelAgrio,1990,Fase_int,6829.6
BajadaDelAgrio,1990,Fase_max,5632.84
BajadaDelAgrio,1990,Fase_min,2436.13
BajadaDelAgrio,1991,Fase_int,9204.24
BajadaDelAgrio,1991,Fase_max,7017.04
BajadaDelAgrio,1991,Fase_min,1958.5
BajadaDelAgrio,1992,Fase_int,8363.42
BajadaDelAgrio,1992,Fase_max,11064.87
BajadaDelAgrio,1992,Fase_min,1922.3700000000001
BajadaDelAgrio,1993,Fase_int,17858.13
BajadaDelAgrio,1993,Fase_max,13609.72
BajadaDelAgrio,1993,Fase_min,2382.79
BajadaDelAgrio,1994,Fase_int,10141.07
BajadaDelAgrio,1994,Fase_max,15119.61
BajadaDelAgrio,1994,Fase_min,2941.93
BajadaDelAgrio,1995,Fase_int,11798.1
BajadaDelAgrio,1995,Fase_max,11911.1
BajadaDelAgrio,1995,Fase_min,2639.76
BajadaDelAgrio,1996,Fase_int,6259.65
BajadaDelAgrio,1996,Fase_max,4006.4
BajadaDelAgrio,1996,Fase_min,2897.45
BajadaDelAgrio,1997,Fase_int,14987.45
BajadaDelAgrio,1997,Fase_max,9076.45
BajadaDelAgrio,1997,Fase_min,1898.66
BajadaDelAgrio,1998,Fase_int,3932.44
BajadaDelAgrio,1998,Fase_max,3287.36
BajadaDelAgrio,1998,Fase_min,2876.06
BajadaDelAgrio,1999,Fase_int,7106.6
BajadaDelAgrio,1999,Fase_max,9894.24
BajadaDelAgrio,1999,Fase_min,1368.42
BajadaDelAgrio,2000,Fase_int,14286.47
BajadaDelAgrio,2000,Fase_max,15185.76
BajadaDelAgrio,2000,Fase_min,2168.13
BajadaDelAgrio,2001,Fase_int,18140.71
BajadaDelAgrio,2001,Fase_max,11574.11
BajadaDelAgrio,2001,Fase_min,2313.29
BajadaDelAgrio,2002,Fase_int,11051.28
