Anio,Mes,AEROPARQUE AERO,BUENOS AIRES OBSERVATORIO,DOLORES AERO,EZEIZA AERO,LA PLATA AERO,NUEVE DE JULIO
1961,1,12.627272727272727,21.055555555555554,18.509999999999998,22.916666666666664,18.9,17.49
1961,2,8.314285714285715,12.1375,8.444444444444445,7.85,3.842857142857143,16.211111111111112
1961,3,6.39,7.9,20.58,7.625,5.9625,2.5375
1961,4,9.16,17.42,5.1,13.571428571428571,10.625,2.2444444444444445
1961,5,13.16,18.928571428571427,5.983333333333333,25.985714285714284,12.0625,2.4875000000000003
1961,6,7.3500000000000005,5.3428571428571425,5.071428571428571,5.25,6.5,5
1961,7,12.4,9.56,7.841666666666667,11.64,8.5,1.0799999999999998
1961,8,4.55,4.5,7.257142857142857,4.8500000000000005,4.133333333333334,10.042857142857143
1961,9,8.35,8.025,4.28,7.925,5.8,13.683333333333334
1961,10,9.093333333333334,7.62,5.506666666666667,9.9,8.784615384615385,19.476923076923075
1961,11,11.8,11.56,5.8533333333333335,11.211111111111112,17.62857142857143,11.3875
1961,12,13.39,14.2,15.014285714285714,23.225,13.314285714285713,15.2
1962,1,7.955555555555556,8.36,11.9125,7.8125,9.766666666666667,11.15
1962,2,12.6,37.5,3.0375,8.866666666666667,6.1,3.96
1962,3,12.16,6.6,7.4363636363636365,8.355555555555556,12.450000000000001,9.328571428571427
1962,4,37.78,44.3,21.814285714285713,20.866666666666667,45,22.583333333333332
1962,5,2.56,3.025,7.75,3.18,2.85,8.799999999999999
1962,6,3.475,3.25,0.17500000000000002,0.9,0.625,1.9
1962,7,11.4625,10.65,11.04,7.1,11.683333333333334,10.433333333333334
1962,8,6.9714285714285715,8.483333333333333,6.385714285714285,10.48,12.571428571428571,15.033333333333333
1962,9,16.45,14.985714285714286,15.133333333333335,17.425,22.5,5.5
1962,10,4.5,6.6,5.233333333333333,3.9,4.7,8.971428571428572
1962,11,16.3625,15.75,8.922222222222222,10.4625,12.74,10.245454545454546
1962,12,25.6,25.575000000000003,16.642857142857142,15.06,12.26,21.46
1963,1,4.15,10.700000000000001,7.554545454545455,5.4375,18.377777777777776,NA
1963,2,16.64,12.933333333333334,6.384615384615384,38.96666666666667,13.933333333333334,0.9
1963,3,33.471428571428575,18.116666666666667,24.8375,24.077777777777776,37.24285714285714,17.4
1963,4,6.5636363636363635,8.125,7.5636363636363635,10.025,2.2142857142857144,16.308333333333334
1963,5,5.55,7.02,8.475,9.125,5.3,5.46
1963,6,16.15,20.785714285714285,10.275,16.900000000000002,21.933333333333334,15.05
1963,7,7.933333333333334,7.142857142857143,8.3,6.4714285714285715,12.725,1.6333333333333333
1963,8,10.766666666666666,9.833333333333334,14.709090909090909,10.557142857142857,17.2,10.18
1963,9,13.654545454545454,8.528571428571428,16.563636363636363,8.208333333333334,18.85,5.076923076923077
1963,10,12.366666666666667,10.576923076923077,7.183333333333334,7.573333333333333,8.71111111111111,15.741666666666667
1963,11,12.691666666666666,10.3,14.218181818181819,14.45,13.4,9.172727272727272
1963,12,26.51111111111111,16.439999999999998,13.192307692307692,22.285714285714285,27.47142857142857,12.681818181818182
1964,1,4.82,6.6499999999999995,5.3545454545454545,5.44,1.3666666666666667,9.2
1964,2,26.5,23.628571428571426,8.142857142857142,20.875,54.733333333333334,25.357142857142858
1964,3,25.166666666666668,22.763636363636365,20.8,17.41111111111111,15.76,17.18
1964,4,7.933333333333334,7.266666666666667,7.566666666666666,7.888888888888889,13.200000000000001,18.22222222222222
1964,5,10.375,10.737499999999999,15.637500000000001,13.8,12.816666666666666,7.257142857142857
1964,6,13.566666666666666,16.366666666666667,7.24,14.633333333333335,16.03333333333333,4.04
1964,7,6.266666666666667,3.6500000000000004,2.683333333333333,5.74,7.025,4.25
1964,8,6.083333333333333,8.528571428571428,13.275,12.700000000000001,9.76,15.533333333333333
1964,9,4.966666666666667,7.133333333333333,8.214285714285714,8.416666666666666,8.885714285714286,5.5875
1964,10,6.814285714285714,10.516666666666666,1.45,4.3375,15.525,3.38
1964,11,6.8,14.128571428571428,9.218181818181819,8.92,6.466666666666667,8.045454545454545
1964,12,3.925,6.3125,7.269230769230769,8.233333333333334,5.2,11.654545454545454
1965,1,9.675,22.724999999999998,4.781818181818182,13.4,7.725,5.7
1965,2,10.89090909090909,10.16,7.754545454545455,7.81,8.933333333333334,5.633333333333334
1965,3,5.9399999999999995,5.366666666666666,0.9,4.98,4.225,7
1965,4,23.416666666666668,20.257142857142856,6.477777777777778,14.414285714285715,15.82857142857143,13.375
1965,5,3.65,1.8285714285714287,1.92,2.72,2.1,4.1
1965,6,8.02,8.075000000000001,8.4875,8.375,3.3000000000000003,9.654545454545454
1965,7,5.45,4.916666666666667,5.707692307692308,5.41,5.622222222222222,3.0727272727272728
1965,8,6.13,6.69,6.225,6.9625,6.225,2.24
1965,9,6.3999999999999995,5.511111111111111,2.6624999999999996,5.9125,4.9,1.0333333333333334
1965,10,4.1875,2.3777777777777778,16.133333333333333,4.6571428571428575,4.628571428571429,7.51
1965,11,15.285714285714285,16.6,7.1875,27.86,13.75,16.7
1965,12,7.008333333333333,7.709090909090909,6.95,11.933333333333334,9,16.708333333333332
1966,1,8.9875,9.09,9.362499999999999,15.77142857142857,10.075,13.522222222222222
1966,2,8.911111111111111,10.555555555555555,12.379999999999999,10.233333333333334,13.385714285714286,7.233333333333333
1966,3,31.855555555555554,31.05,5.055555555555555,26.644444444444446,26.533333333333335,20.11
1966,4,14.049999999999999,11.272727272727272,8.623076923076923,9.521428571428572,14.118181818181819,10.418181818181818
